0.01,4.17
0.02,4.17
0.03,4.17
0.04,4.165
0.05,4.16
0.060000000000000005,4.154999999999999
0.06999999999999999,4.1499999999999995
0.08,4.145
0.09,4.135
0.09999999999999999,4.13
0.11,4.12
0.12,4.109999999999999
0.13,4.1
0.14,4.085
0.15000000000000002,4.075
0.16,4.06
0.17,4.05
0.18000000000000002,4.035
0.19,4.02
0.2,4.005
0.21000000000000002,3.99
0.22,3.975
0.23,3.955
0.24000000000000002,3.94
0.25,3.9200000000000004
0.26,3.9050000000000002
0.27,3.8850000000000002
0.28,3.87
0.29000000000000004,3.85
0.3,3.83
0.31,3.81
0.32,3.79
0.33,3.77
0.34,3.75
0.35000000000000003,3.73
0.36000000000000004,3.71
0.37,3.69
0.38,3.6700000000000004
0.39,3.6500000000000004
0.4,3.6300000000000003
0.41000000000000003,3.6100000000000003
0.42000000000000004,3.585
0.43,3.565
0.44,3.5450000000000004
0.45,3.5250000000000004
0.46,3.5050000000000003
0.47000000000000003,3.4850000000000003
0.48000000000000004,3.4650000000000003
0.49,3.44
0.5,3.4200000000000004
0.51,3.4000000000000004
0.52,3.3800000000000003
0.53,3.3600000000000003
0.54,3.3400000000000003
0.55,3.3200000000000003
0.56,3.3000000000000003
0.5700000000000001,3.2800000000000002
0.5800000000000001,3.2600000000000002
0.59,3.24
0.6,3.22
0.61,3.2
0.62,3.18
0.63,3.16
0.64,3.145
0.65,3.125
0.66,3.105
0.67,3.085
0.68,3.065
0.6900000000000001,3.0500000000000003
0.7000000000000001,3.0300000000000002
0.7100000000000001,3.0100000000000002
0.72,2.995
0.73,2.975
0.74,2.96
0.75,2.94
0.76,2.9250000000000003
0.77,2.9050000000000002
0.78,2.89
0.79,2.87
0.8,2.855
0.81,2.8400000000000003
0.8200000000000001,2.8200000000000003
0.8300000000000001,2.805
0.8400000000000001,2.79
0.85,2.7750000000000004
0.86,2.7550000000000003
0.87,2.74
0.88,2.725
0.89,2.71
0.9,2.6950000000000003
0.91,2.68
0.92,2.665
0.93,2.6500000000000004
0.9400000000000001,2.6350000000000002
0.9500000000000001,2.62
0.9600000000000001,2.605
0.97,2.5900000000000003
0.98,2.575
0.99,2.56
1.,2.545
1.01,2.535
